unique_key,location,on_street,off_street,borough
3848140,,,,MANHATTAN
3878217,,,111-01 MAYVILLE STREET,QUEENS
3861216,"(40.6730884, -73.9694162)",,,BROOKLYN
3936298,,,,
3922485,,,,
3947790,,,,
3890440,,NORTH CONDUIT AVENUE,,QUEENS
4018302,,,,
3996663,,,,
3975774,,,,
3909261,,VERRAZZANO-NARROWS BRIDGE (STATEN ISLAND BOUND),,BROOKLYN
3877984,,,,
3920912,,,6000 BELT PARKWAY,BROOKLYN
3899004,,MAJOR DEEGAN EXPRESSWAY,,BRONX
3880235,,,,
3836384,,,,
3917892,,THROGS NECK EXPRESSWAY,,BRONX
3873918,,,,
4015654,,,2 MEISNER AVENUE,STATEN ISLAND
4012911,"(40.76030840000001, -73.7743079)",,,QUEENS
3934474,,,,
3975805,,MAJOR DEEGAN EXPRESSWAY,,BRONX
3826118,,,164-19 120TH AVENUE,QUEENS
3929880,,,,
3978856,,,,
4044156,,,,
3957368,,,,
3866076,,,,
3996037,,JACKIE ROBINSON PARKWAY,,BROOKLYN
3830436,,,,
3972246,,HUTCHINSON RIVER EXPRESSWAY,,BRONX
3968378,,,82-08 58TH AVENUE,QUEENS
3883927,,,,
4015397,,,,
3907443,,,,
3990428,,,,
3893906,,,,
3825190,,82ND STREET,,QUEENS
3879101,,,,
4025535,,,144 HICKS STREET,BROOKLYN
3873368,,CHRYSTIE STREET,,MANHATTAN
3885745,,,,
3891790,,,,
4048202,,BRUCKNER EXPRESSWAY,,BRONX
3899198,,BELT PARKWAY,,BROOKLYN
3858295,,,,
3885235,,,,
3837013,,,,
3867280,,,,
3891468,,,129-03 LIBERTY AVENUE,QUEENS
3953355,,BELT PARKWAY,,QUEENS
3833933,,,,
3885406,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
4006266,,,,
4038398,,,,
3975929,,,,
3974878,,,,
3967796,,,499 EAST 99TH STREET,MANHATTAN
3906965,,,,
3961932,,47TH STREET,,BROOKLYN
3892013,,GRAND CENTRAL PARKWAY,,QUEENS
3983313,,BELT PARKWAY,,BROOKLYN
3950598,"(40.7034077, -73.8627577)",,,QUEENS
3962477,,,,
3911999,,GRAND CENTRAL PARKWAY,,QUEENS
3977531,,,,
3984602,,,,
3844503,,,,
4047463,,,,
3903638,,LONG ISLAND EXPRESSWAY,,QUEENS
3934491,,,,
3886879,,,,
3909672,,,,
3853980,"(40.7616556, -73.9865591)",,,MANHATTAN
3902342,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
3906173,,,301 WEST 37TH STREET,MANHATTAN
3930114,,,,
3881740,,,,
4042139,,,247 WARREN STREET,BROOKLYN
3867290,,,,
4025627,,,,
4047156,,,,
3931542,,GRAND CENTRAL PARKWAY,,QUEENS
3977660,,BELT PARKWAY,,QUEENS
4016817,,CROSS BRONX EXPRESSWAY,,BRONX
3869988,,,311 NEPTUNE AVENUE,BROOKLYN
4019054,,,,
3892451,,MERCER STREET,,MANHATTAN
4010224,,,8855 BAY PARKWAY,BROOKLYN
3915160,,,124 EAST 188TH STREET,BRONX
3871674,"(40.6554970925609, -73.8736095512062)",,,BROOKLYN
4036227,,,,
3874556,,,,
3904288,,BELT PARKWAY,,BROOKLYN
4043428,"(40.6066162, -74.0446602)",,,STATEN ISLAND
3930471,"(40.7641767, -73.9833744)",,,MANHATTAN
3927667,,HUTCHINSON RIVER PARKWAY,,BRONX
3846509,,,,
4029226,,CATHEDRAL PARKWAY,,MANHATTAN
3874120,,,,
3945355,,,,
3858152,,,,
3887807,,,,QUEENS
3903039,,,,
3974667,,,,
3934955,,,,
3847477,,,,
3852052,,CROSS BRONX EXPRESSWAY,,BRONX
3939699,,,,
3969221,,,,
3861765,,,,
3994787,"(40.6871623, -73.7264)",,,QUEENS
4051120,"(40.5637311, -74.1958397)",,,STATEN ISLAND
3947086,,,,
4011718,,,,
3930771,,,,
4041429,,,1479 SAINT NICHOLAS AVENUE,MANHATTAN
3935905,,,,
3957146,,,,
3882830,"(40.88652949999999, -73.8997038)",,,BRONX
4014631,,,,
3983650,,,202 TILLARY STREET,BROOKLYN
3931341,,,,
3853010,,,,
3922065,,,,
4026910,,,,
3974217,,,,
4040344,,,,
4018656,,,,
3956758,,WEST 95TH STREET,,MANHATTAN
4042834,,,,
4002459,,,,
4015846,,PROSPECT EXPRESSWAY,,BROOKLYN
3910061,,,,
3858451,,,,
3864252,,,,
3844977,,,,
3849542,,CROSS ISLAND PARKWAY,,QUEENS
3964826,,,,
4027655,,,,
3972127,,,,
4016368,,UNION STREET,,QUEENS
3968127,,,2299 BARTOW AVENUE,BRONX
3912037,,,,
3832683,,,,
3985581,"(40.6744207, -73.8020884)",,,QUEENS
3844630,,,,BRONX
4028586,,RICHMOND AVENUE,,STATEN ISLAND
4019061,,,,
4007061,,,,
3829090,,,,
3942145,,NEW ENGLAND THRUWAY,,BRONX
3846453,,,,
4054016,,,,
3930779,,,,
3959883,,,,
4049279,,,,
4029462,,,,
3835015,,HENRY HUDSON PARKWAY,,MANHATTAN
3833495,,VAN WYCK EXPRESSWAY,,QUEENS
3957643,,,108-20 101ST AVENUE,QUEENS
3932820,,,,
3945425,,,212 WEST 238TH STREET,BRONX
3821954,,HARLEM RIVER DRIVE,,MANHATTAN
3893269,,,,
4042860,,,,
3880201,,,,
4016390,,,41-69 PARSONS BOULEVARD,QUEENS
3829383,,,,
3927708,,,,
4027438,,,,
3981887,,,,
3977290,,,,
3899122,,,,
3946288,,,,
3830102,,,,
4027278,"(40.76295229999999, -73.8332935)",,,QUEENS
3851052,,RECTOR STREET,,MANHATTAN
3903984,,,,
3971466,"(40.7643054, -73.9730051)",,,MANHATTAN
3844256,,,,
4051455,,,,
3834013,,,,
3912955,,,,
3916201,,,,
3821520,,,,
3951823,,,,
3929485,,,,
3842428,,,,
3846746,,,,
3918737,,,,
4031584,,,,
3938014,,,,
3859558,,BELT PARKWAY,,BROOKLYN
4007362,,,,
3939267,,,,QUEENS
4055173,,,,
4025614,,,,
4016423,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
3910215,,,,
3855246,,,,
3831352,"(40.6866859, -73.9793655)",,,BROOKLYN
4019584,,,,
4026957,,,,
3871387,,,,
3875167,,LONG ISLAND EXPRESSWAY,,QUEENS
3933317,,,10015 4TH AVENUE,BROOKLYN
4003846,,6TH AVENUE,,MANHATTAN
3904345,,,,
3870273,,,,
3855790,,,1900 RICHMOND AVENUE,STATEN ISLAND
4011522,,,47 EAST 49TH STREET,MANHATTAN
3912758,,,,
3950544,,,,
3900672,,,,
4040431,,,,
3837134,,,,
4004338,,,,
3853372,,TRANS-MANHATTAN EXPRESSWAY,,MANHATTAN
3890739,,,300 REMSEN AVENUE,BROOKLYN
4033446,"(40.7188765, -73.79088360000002)",,,QUEENS
3941453,,,,
3847338,,,,
3895399,,,,
3863069,,,,
3852761,,,,
4021094,,,,
4031898,,,360 WEST 127TH STREET,MANHATTAN
3858780,,,,
3928205,,,,
3912823,"(40.7716252, -73.8335018)",,,QUEENS
3856490,,,,
3936470,,BRUCKNER EXPRESSWAY,,BRONX
4037873,,BRUCKNER EXPRESSWAY,,BRONX
3822040,,,,
3998092,,,,
3866164,,,,
3924601,,,,
4007145,,METROPOLITAN AVENUE,,BROOKLYN
3826655,,,1901 LORING PLACE SOUTH,BRONX
3936885,,,,
3917069,,,,
3951023,,,,
3849468,,,,
3978999,,,,
3855097,,TILLARY STREET,,BROOKLYN
3849348,,,,
3906214,,,,
3975349,,,,
3925209,,,,
3923320,"(40.7694431, -73.99500479999999)",,,MANHATTAN
3987329,,,2811 GLENWOOD ROAD,BROOKLYN
3959516,,QUEENS PLAZA NORTH,,QUEENS
3908422,,,,
3955925,,,,
3920919,,,,
3921493,,,669 WEST 158TH STREET,MANHATTAN
4059064,,,200-20 115TH AVENUE,QUEENS
3826690,,,,
3846935,,BELT PARKWAY,,BROOKLYN
4045304,,,,
3904544,,,111-01 101ST AVENUE,QUEENS
3868799,,,,
3868830,,SEAVIEW AVENUE,,BROOKLYN
3846199,,,,
4005846,,LONG ISLAND EXPRESSWAY,,QUEENS
3918101,,HILLSIDE AVENUE,,QUEENS
3899202,,,,
3905623,,,,
3968826,,,,
3938217,,,,
4041154,,,,
3955528,,,,
3859136,,,,
3880038,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
3903490,,,,
3918951,,,,
4015326,,,139-01 FOCH BOULEVARD,QUEENS
3828785,,,,
3900221,,,,
3870246,,,,
4013973,,,560 WEST 180TH STREET,MANHATTAN
4020606,,,,
3972311,,,,
3895809,,,,
3931925,,,301 WEST 33RD STREET,MANHATTAN
4037792,,,10-50 50TH AVENUE,QUEENS
3856199,,STATEN ISLAND EXPRESSWAY,,STATEN ISLAND
3988776,,,541 EAST 68TH STREET,MANHATTAN
3992933,,,,
4039699,,BROOKLYN-QUEENS EXPRESSWAY,,QUEENS
3863986,,,,
3975866,,,,
3841376,,GOWANUS EXPRESSWAY (HOV),,BROOKLYN
3885904,,,,
3988104,,EASTGATE PLAZA,,QUEENS
4046914,,,,
3832535,"(40.5864415, -73.9854041)",,,BROOKLYN
4032274,,,123-02 23RD AVENUE,QUEENS
3876246,,,,
3957980,"(40.7518903, -74.0079981)",,,MANHATTAN
3947533,,,,
3910025,,,,
3943200,,,,
3976389,,,,
3881626,,,,
3925608,,,23-02 COLLEGE POINT BOULEVARD,QUEENS
3863305,,,,
3835190,,,,
4029333,,,,
4046461,"(40.7172075, -73.93470789999999)",,,BROOKLYN
3915686,,GOWANUS EXPRESSWAY,,BROOKLYN
3980237,,,,
3897048,,,,MANHATTAN
3952301,,,,
3907074,,,,
3897396,,,218 HAMILTON AVENUE,BROOKLYN
3919119,"(40.8413525, -73.8255016)",,,BRONX
4027032,,,,
4048971,,LONG ISLAND EXPRESSWAY,,QUEENS
3852067,,,989 3RD AVENUE,MANHATTAN
3988073,,,,
3866810,,,,
3888707,,,,
3971871,,,,
3923128,,,,
3824382,,,,
4049541,,,,
3975292,,,,
3978681,,,,
3986429,,,,
3963569,,,,
4047564,"(40.7610076, -73.9870268)",,,MANHATTAN
4042370,,CHRYSTIE STREET,,MANHATTAN
4061470,,,,BROOKLYN
3908722,,,,
4048321,"(40.8193989, -73.811238)",,,BRONX
4007222,,,,
3987168,,,361 BRUCKNER BOULEVARD,BRONX
3895710,"(40.6287455, -74.0756735)",,,STATEN ISLAND
3973582,"(40.8329981, -73.8616211)",,,BRONX
3948535,,,,
3826168,,,,
3965969,,,,
4018035,,,,
3949928,,,,
4041606,,,,
3846057,,,,
3849438,,,,
3958189,,,,
3918214,,,,
3829432,"(40.744263, -73.839044)",,,QUEENS
3921632,,,,
3940704,"(40.7173751, -73.94881579999999)",,,
3867654,,,,
3941072,,,,
3952845,,,,
3901304,,,,
4011555,,,1269 GRAND CONCOURSE,BRONX
3896414,,,,
4005427,,,159 EAST 37TH STREET,MANHATTAN
3835096,,BELT PARKWAY,,BROOKLYN
4044423,,,,MANHATTAN
3947208,,,,
3865273,,HENRY HUDSON PARKWAY,,MANHATTAN
3897102,,,,
4042647,,,,
4028931,,,,
3825183,,LONG ISLAND EXPRESSWAY,,QUEENS
3883242,,,,
3971115,,,248-25 NORTHERN BOULEVARD,QUEENS
3881945,,,,
4010598,,,2143 POWELL AVENUE,BRONX
3989375,,,,
4042162,,,,
3898262,,,,
3858358,,,,
3939058,,,556 EAST 149TH STREET,BRONX
3855648,,,,
3969896,,,,
3847148,,,,
3978385,,,344 GREENE AVENUE,BROOKLYN
4027313,,,,
3957967,,,,
4050068,,,,
3892695,,,,
4041833,,,,
3909548,,,,
3927728,,,,
3828367,,,,
3907236,,,,
3907686,,LONG ISLAND EXPRESSWAY,,QUEENS
3851848,,,,
3918521,,,,
4019845,,MEEKER AVENUE,,BROOKLYN
3957024,,LONG ISLAND EXPRESSWAY,,QUEENS
3973273,,LONG ISLAND EXPRESSWAY,,QUEENS
3905583,,BELT PARKWAY,,QUEENS
3820784,,,,
4029629,,,,
3858878,,,,
3929702,,,,
3883645,,,,
3906506,,,,
3867670,,,,
3876873,,,,
4015189,,,,
3949992,,,,
3930547,,,,
4021838,,,,
3961894,"(40.8466568, -73.89618879999999)",,,BRONX
3925416,,,,
4038679,,,,
3848687,"(40.600409, -74.144941)",,,STATEN ISLAND
4010366,,,257 LOTT AVENUE,BROOKLYN
4028631,,,,
3937694,"(40.7172075, -73.93470789999999)",,,BROOKLYN
3863137,"(40.88912089999999, -73.8600715)",,,BRONX
4045241,,,35-03 31ST STREET,QUEENS
3893459,,,,QUEENS
3968431,,,1421 2ND AVENUE,MANHATTAN
3995953,,,,
3901392,,,2361 MORRIS AVENUE,BRONX
3842245,,,,
3825804,,CROCHERON AVENUE,,STATEN ISLAND
3908230,"(40.7232475, -73.9125901)",,,QUEENS
3883529,,,,
3896661,,,71 EAST 97TH STREET,MANHATTAN
3850678,,WEST SHORE EXPRESSWAY,,STATEN ISLAND
3983025,"(40.8764913, -73.9241617)",,,BRONX
3872523,,,572 WEST 150TH STREET,MANHATTAN
3881040,,,,
3913205,,,,
3956919,,,,
3908633,,WHITESTONE BRIDGE (TOLL),,QUEENS
3981427,,,,
3906802,,,,
4016672,,,,
4043188,,NORTH CONDUIT AVENUE,,QUEENS
3914393,,HOOK CREEK BOULEVARD,,QUEENS
3896901,,81ST STREET,,QUEENS
3968611,,,,
3964415,,QUEENS BOULEVARD,,QUEENS
4052617,,JOSEPH P. WARD STREET,,MANHATTAN
3973208,"(40.7379838, -73.9032903)",,,QUEENS
4033805,"(40.6012126666667, -73.9360978333333)",,,BROOKLYN
3995340,,,,
3846904,,,,
3874017,,,,
3856044,,,,
3863815,,,,
3927814,,,,
3836680,,,596 RIVERSIDE DRIVE,MANHATTAN
3967609,"(40.6971314, -73.8139159)",,,QUEENS
3879787,,CLEARVIEW EXPRESSWAY,,QUEENS
3905084,,,,
3824909,,,,
3994277,,,15 CEDARWOOD COURT,STATEN ISLAND
3873975,,EAST 233RD STREET,,BRONX
4036578,,,,
4030047,,,,
4016459,,,,
3980147,,,,
3995505,,,,
3936144,,,,
4033097,,,,
3940605,,,,
4039021,,PROSPECT EXPRESSWAY,,BROOKLYN
4038405,,VAN WYCK EXPRESSWAY,,QUEENS
4027193,,,,
3822008,,,219 CLIFTON PLACE,BROOKLYN
3984129,,,,
4019982,,,,
4034881,,,,
3897583,,,,
3972446,,,,
4003573,,,,
4053243,,,91 BRUCKNER BOULEVARD,BRONX
3899049,,GRAND CENTRAL PARKWAY,,QUEENS
3955534,,,835 BROADWAY,BROOKLYN
3871212,,,,
3905323,,,,
3899132,,,1299 FRANKLIN AVENUE,BRONX
3991426,,,,
3833872,,,,
3870094,,,,
3845785,,,,
3887619,"(40.8459997, -73.9171562)",,,BRONX
3898911,,,,
4002687,,,58 EAST FORDHAM ROAD,BRONX
4009406,,,,
3963752,,,,
3896485,,,1172 OGDEN AVENUE,BRONX
4033785,,,,
3890644,,FOREST AVENUE,,STATEN ISLAND
3842695,,,,
3847888,,,,
3879565,,,,
4053432,,,,
3875671,,,2081 2ND AVENUE,MANHATTAN
4002712,,GRAND CENTRAL PARKWAY,,QUEENS
4016794,,GRAND CENTRAL PARKWAY,,QUEENS
3923685,,,,
3909447,,,,
3907231,,,1 WEST 119TH STREET,MANHATTAN
3908237,,,,
3858772,,,,
3844461,,,289 MANHATTAN AVENUE,BROOKLYN
4045727,,,,
4018183,,,,
3915756,"(40.8832342, -73.88342829999999)",,,BRONX
3911405,,,,BRONX
3849623,,,,
3865171,,,,
3922548,,,,
3968486,,,618 AMSTERDAM AVENUE,MANHATTAN
3955629,,QUEENS PLAZA NORTH,,QUEENS
4040219,,VAN WYCK EXPRESSWAY,,QUEENS
3997668,,,,
3925293,,,,
3974371,,WEST 4TH STREET,,MANHATTAN
3821208,,,,
3931386,,MONTGOMERY STREET,,MANHATTAN
4050241,,,38 WEST GUN HILL ROAD,BRONX
4020487,"(40.755470875, -73.9798620625)",,,MANHATTAN
4015787,,,,
3973117,,,,
3947141,,,,
3960903,,,,MANHATTAN
3951190,,,,
3845304,,,,
3923529,,,682 JAMAICA AVENUE,BROOKLYN
3868680,,,,
3904161,,HUTCHINSON RIVER PARKWAY,,BRONX
3909579,,,165-01 HILLSIDE AVENUE,QUEENS
3858699,,,,
3826292,,,,
3977490,,,,
4038569,,,2726 FREDERICK DOUGLASS BOULEVARD,MANHATTAN
4033087,,,,
3976629,,,,
3867632,,,34-01 91ST STREET,QUEENS
3860517,,,,
4000122,,WEST 104TH STREET,,MANHATTAN
3905931,,,,
3853002,,,,
3889374,,,21-46 BORDEN AVENUE,QUEENS
3960372,,,,
3831503,,,,
3891676,,,,
3906168,,,,
3834562,,,2333 CRESTON AVENUE,BRONX
3937820,,VERRAZZANO-NARROWS BRIDGE,,BROOKLYN
3983630,,,,
3943529,,FDR DRIVE,,MANHATTAN
3902255,,BRONX RIVER PARKWAY,,BRONX
3900531,,,,
3870790,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
4028252,,,,
3842082,"(40.725558, -73.7922954)",,,QUEENS
3899974,,,,
3967993,,WILLIS AVENUE BRIDGE,,BRONX
3938453,,,,
3932277,,,1356 LORING AVENUE,BROOKLYN
4012156,,BROOKLYN-QUEENS EXPRESSWAY,,BROOKLYN
4004658,,,,
3827693,,,,
3851078,,SHORE PARKWAY,,BROOKLYN
3990270,,,31-05 ASTORIA BOULEVARD NORTH,QUEENS
3823546,,BRUCKNER EXPRESSWAY,,BRONX
3967953,,EAST 9TH STREET,,MANHATTAN
4038639,"(40.6462346, -73.7446087)",,,QUEENS
3978750,,,,
3936363,,,119 HEGEMAN AVENUE,BROOKLYN
3944099,,,201 MURRAY STREET,MANHATTAN
3851995,,JACKIE ROBINSON PARKWAY,,QUEENS
4033256,,,,
4052751,,,,
3957089,,,,
3850357,,,,
3888903,,,,QUEENS
3959493,,,,
3991127,,,,
4054155,,GRAND CENTRAL PARKWAY,,QUEENS
3858769,,,,
3929914,,,104-10 JAMAICA AVENUE,QUEENS
3891823,,,,
3938346,"(40.72781500000001, -73.906498)",,,QUEENS
4037786,,,,
3844784,,,,
4028703,,3RD AVENUE,,BRONX
3934640,,LONG ISLAND EXPRESSWAY,,QUEENS
3919566,,,,
4028342,,VAN WYCK EXPRESSWAY,,QUEENS
3963051,,,315 EAST 161ST STREET,BRONX
3982394,,,,
3839941,,,30-14 30TH DRIVE,QUEENS
4042819,,,2363 VALENTINE AVENUE,BRONX
4018927,,,,
4039475,,,103-44 109TH STREET,QUEENS
3941497,,,,
3906311,,,,
3905107,,BEARD STREET,,BROOKLYN
4037390,,,,
3832650,,PROSPECT PARK SOUTHWEST,,BROOKLYN
3890649,,,2437 FOREST AVENUE,STATEN ISLAND
4027420,,,,
4004689,,,,
3827341,"(40.6386309, -73.7415658)",,,QUEENS
3965436,,LONG ISLAND EXPRESSWAY,,QUEENS
3967546,,,48-41 VAN DAM STREET,QUEENS
3879726,,,,
3861430,,VAN WYCK EXPRESSWAY,,QUEENS
4038800,,,,
3921391,,,32-13 ASTORIA BOULEVARD NORTH,QUEENS
3921658,"(40.7616555, -73.9708424)",,,MANHATTAN
3882294,,,,
3886109,,,,
3940617,,,,
3940653,,FDR DRIVE,,MANHATTAN
4047509,,,,
